日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-09-01,27,19,阴,西南风,1级,23.0,8
2019-09-02,32,19,多云,东南风,2级,25.5,13
2019-09-03,31,18,多云,东南风,2级,24.5,13
2019-09-04,31,21,晴,西北风,1级,26.0,10
2019-09-05,30,17,多云,西南风,1级,23.5,13
2019-09-06,26,17,阴,西北风,2级,21.5,9
2019-09-07,24,15,多云,东南风,2级,19.5,9
2019-09-08,26,13,晴,东南风,3级,19.5,13
2019-09-09,27,15,晴,东北风,3级,21.0,12
2019-09-10,29,15,阴,西北风,8级,22.0,14
2019-09-11,21,6,阴,西北风,5级,13.5,15
2019-09-12,21,9,晴,东南风,2级,15.0,12
2019-09-13,23,9,多云,东南风,3级,16.0,14
2019-09-14,25,11,晴,东南风,2级,18.0,14
2019-09-15,26,10,晴,东南风,2级,18.0,16
2019-09-16,26,13,多云,西南风,2级,19.5,13
2019-09-17,22,12,多云,西北风,6级,17.0,10
2019-09-18,26,10,多云,东南风,2级,18.0,16
2019-09-19,26,11,晴,东北风,2级,18.5,15
2019-09-20,26,10,多云,东南风,2级,18.0,16
2019-09-21,27,11,多云,东南风,1级,19.0,16
2019-09-22,28,11,晴,东风,2级,19.5,17
2019-09-23,28,10,晴,东北风,1级,19.0,18
2019-09-24,28,12,晴,东北风,2级,20.0,16
2019-09-25,28,13,晴,东北风,3级,20.5,15
2019-09-26,29,12,晴,西北风,2级,20.5,17
2019-09-27,29,13,多云,西风,2级,21.0,16
2019-09-28,30,14,晴,东南风,3级,22.0,16
2019-09-29,28,17,晴,西北风,2级,22.5,11
2019-09-30,26,14,多云,西北风,6级,20.0,12
2019-08-01,29,19,阴,西北风,2级,24.0,10
2019-08-02,33,19,晴,东北风,2级,26.0,14
2019-08-03,33,20,晴,东南风,1级,26.5,13
2019-08-04,34,22,多云,东南风,2级,28.0,12
2019-08-05,30,23,多云,东南风,2级,26.5,7
2019-08-06,31,20,多云,东南风,3级,25.5,11
2019-08-07,34,20,多云,东南风,2级,27.0,14
2019-08-08,34,21,晴,东南风,2级,27.5,13
2019-08-09,35,22,晴,东南风,2级,28.5,13
2019-08-10,34,22,多云,西北风,7级,28.0,12
2019-08-11,30,19,阴,东南风,2级,24.5,11
2019-08-12,31,19,晴,东北风,2级,25.0,12
2019-08-13,33,17,晴,东北风,1级,25.0,16
2019-08-14,35,19,晴,东南风,1级,27.0,16
2019-08-15,34,22,阴,东南风,1级,28.0,12
2019-08-16,33,20,多云,西南风,2级,26.5,13
2019-08-17,30,20,多云,西南风,1级,25.0,10
2019-08-18,29,19,阴,西北风,2级,24.0,10
2019-08-19,27,19,多云,东南风,1级,23.0,8
2019-08-20,24,17,阴,西南风,3级,20.5,7
2019-08-21,22,17,多云,东南风,2级,19.5,5
2019-08-22,25,17,多云,东南风,3级,21.0,8
2019-08-23,31,15,晴,东南风,3级,23.0,16
2019-08-24,31,18,晴,东南风,1级,24.5,13
2019-08-25,30,19,多云,西北风,5级,24.5,11
2019-08-26,29,17,多云,东南风,2级,23.0,12
2019-08-27,30,17,晴,东南风,3级,23.5,13
2019-08-28,32,19,晴,东南风,1级,25.5,13
2019-08-29,33,18,多云,东南风,2级,25.5,15
2019-08-30,34,22,晴,西南风,1级,28.0,12
2019-08-31,28,21,阴,西北风,2级,24.5,7
2019-07-01,33,20,多云,东南风,2级,26.5,13
2019-07-02,32,18,小雨,东南风,2级,25.0,14
2019-07-03,35,21,晴,东南风,3级,28.0,14
2019-07-04,34,18,多云,西北风,4级,26.0,16
2019-07-05,28,17,阴,东南风,3级,22.5,11
2019-07-06,30,15,阴,东南风,4级,22.5,15
2019-07-07,32,17,多云,东北风,1级,24.5,15
2019-07-08,28,18,阴,西北风,3级,23.0,10
2019-07-09,28,20,小雨,东南风,3级,24.0,8
2019-07-10,32,20,多云,东南风,3级,26.0,12
2019-07-11,28,15,小雨,南风,2级,21.5,13
2019-07-12,31,18,晴,东北风,3级,24.5,13
2019-07-13,31,19,晴,西南风,1级,25.0,12
2019-07-14,30,20,阴,西南风,1级,25.0,10
2019-07-15,27,17,阴,东南风,2级,22.0,10
2019-07-16,31,16,阴,东南风,4级,23.5,15
2019-07-17,32,19,晴,东北风,3级,25.5,13
2019-07-18,33,20,多云,西北风,3级,26.5,13
2019-07-19,32,19,阴,西北风,6级,25.5,13
2019-07-20,29,19,阴,西北风,3级,24.0,10
2019-07-21,31,17,阴,西北风,4级,24.0,14
2019-07-22,30,17,多云,东南风,4级,23.5,13
2019-07-23,31,20,多云,西南风,3级,25.5,11
2019-07-24,32,23,多云,东南风,2级,27.5,9
2019-07-25,28,18,阴,西北风,6级,23.0,10
2019-07-26,28,18,多云,东南风,3级,23.0,10
2019-07-27,28,17,阴,西北风,6级,22.5,11
2019-07-28,30,19,晴,东南风,1级,24.5,11
2019-07-29,32,19,晴,东南风,2级,25.5,13
2019-07-30,34,24,多云,东北风,1级,29.0,10
2019-07-31,30,19,阴,东南风,2级,24.5,11
2019-06-01,30,18,多云,西南风,4级,24.0,12
2019-06-02,31,21,阴,西南风,1级,26.0,10
2019-06-03,27,14,阴,西北风,5级,20.5,13
2019-06-04,20,15,阴,西南风,1级,17.5,5
2019-06-05,28,14,多云,东南风,3级,21.0,14
2019-06-06,29,18,多云,东南风,3级,23.5,11
2019-06-07,27,15,阴,西南风,4级,21.0,12
2019-06-08,28,15,晴,东南风,2级,21.5,13
2019-06-09,24,13,阴,东南风,2级,18.5,11
2019-06-10,25,13,阴,西北风,2级,19.0,12
2019-06-11,27,16,阴,西北风,3级,21.5,11
2019-06-12,27,15,多云,西北风,4级,21.0,12
2019-06-13,23,9,小雨,西北风,5级,16.0,14
2019-06-14,26,14,晴,东南风,3级,20.0,12
2019-06-15,29,15,晴,西南风,3级,22.0,14
2019-06-16,30,18,多云,西北风,5级,24.0,12
2019-06-17,31,20,晴,东南风,3级,25.5,11
2019-06-18,31,18,多云,西北风,6级,24.5,13
2019-06-19,31,18,阴,西南风,3级,24.5,13
2019-06-20,31,20,阴,西北风,3级,25.5,11
2019-06-21,25,17,多云,东南风,3级,21.0,8
2019-06-22,28,18,多云,东南风,2级,23.0,10
2019-06-23,28,17,多云,西北风,5级,22.5,11
2019-06-24,27,17,多云,东南风,3级,22.0,10
2019-06-25,30,16,阴,东南风,2级,23.0,14
2019-06-26,28,17,多云,东北风,5级,22.5,11
2019-06-27,28,17,多云,东南风,3级,22.5,11
2019-06-28,29,18,晴,西北风,3级,23.5,11
2019-06-29,31,19,多云,西南风,3级,25.0,12
2019-06-30,32,20,多云,西北风,5级,26.0,12
2019-05-01,20,12,阴,西北风,5级,16.0,8
2019-05-02,22,10,多云,西北风,4级,16.0,12
2019-05-03,23,15,多云,西南风,2级,19.0,8
2019-05-04,15,7,阴,西南风,4级,11.0,8
2019-05-05,18,7,阴,西北风,4级,12.5,11
2019-05-06,14,7,阴,东南风,2级,10.5,7
2019-05-07,10,8,阴,西南风,1级,9.0,2
2019-05-08,16,8,多云,东北风,2级,12.0,8
2019-05-09,21,9,晴,东北风,2级,15.0,12
2019-05-10,23,10,晴,东南风,3级,16.5,13
2019-05-11,26,13,多云,东南风,2级,19.5,13
2019-05-12,21,11,晴,西南风,2级,16.0,10
2019-05-13,21,13,阴,西北风,5级,17.0,8
2019-05-14,23,13,阴,西北风,6级,18.0,10
2019-05-15,25,15,晴,西北风,5级,20.0,10
2019-05-16,26,16,多云,西北风,5级,21.0,10
2019-05-17,23,9,多云,西北风,8级,16.0,14
2019-05-18,20,7,晴,东南风,2级,13.5,13
