日期,最高气温,最低气温,天气,风向,风力,平均气温,温差
2019-07-15,30,24,阴,东北风,3级,27.0,6
2019-07-16,34,24,阴,西北风,1级,29.0,10
2019-07-17,35,24,阴,南风,微风,29.5,11
2019-07-18,35,25,多云,东北风,2级,30.0,10
2019-07-19,30,25,多云,东南风,2级,27.5,5
2019-07-20,36,25,多云,东南风,1级,30.5,11
2019-07-21,36,26,阴,东北风,1级,31.0,10
2019-07-22,36,25,阴,西南风,2级,30.5,11
2019-07-23,36,25,多云,西南风,1级,30.5,11
2019-07-24,37,26,阴,东南风,1级,31.5,11
2019-07-25,38,26,阴,东北风,1级,32.0,12
2019-07-26,37,26,阴,东北风,1级,31.5,11
2019-07-27,37,26,阴,东南风,1级,31.5,11
2019-07-28,38,26,阴,东北风,3级,32.0,12
2019-07-29,38,27,晴,东南风,3级,32.5,11
2019-07-30,38,27,多云,东南风,2级,32.5,11
2019-07-31,37,25,多云,东北风,2级,31.0,12
2019-06-01,24,20,阴,西北风,微风,22.0,4
2019-06-02,25,20,阴,西北风,微风,22.5,5
2019-06-03,29,21,阴,东南风,1级,25.0,8
2019-06-04,34,22,阴,东北风,2级,28.0,12
2019-06-05,36,25,多云,东北风,2级,30.5,11
2019-06-06,32,24,阴,西北风,1级,28.0,8
2019-06-07,28,22,阴,东北风,2级,25.0,6
2019-06-08,28,23,阴,东北风,1级,25.5,5
2019-06-09,30,22,阴,东北风,1级,26.0,8
2019-06-10,33,22,多云,东北风,1级,27.5,11
2019-06-11,32,23,阴,东北风,2级,27.5,9
2019-06-12,29,22,阴,东北风,1级,25.5,7
2019-06-13,21,19,中雨,东南风,2级,20.0,2
2019-06-14,23,17,阴,东北风,1级,20.0,6
2019-06-15,32,18,晴,东南风,1级,25.0,14
2019-06-16,33,20,多云,东北风,1级,26.5,13
2019-06-17,30,22,多云,东北风,2级,26.0,8
2019-06-18,32,23,阴,东南风,1级,27.5,9
2019-06-19,31,24,小雨,东北风,1级,27.5,7
2019-06-20,34,24,阴,东南风,1级,29.0,10
2019-06-21,27,23,小雨,东北风,2级,25.0,4
2019-06-22,25,22,小雨,东北风,2级,23.5,3
2019-06-23,28,20,阴,西南风,1级,24.0,8
2019-06-24,28,23,阴,东北风,2级,25.5,5
2019-06-25,24,21,中雨,西南风,微风,22.5,3
2019-06-26,30,23,小雨,东北风,1级,26.5,7
2019-06-27,33,24,小雨,东北风,1级,28.5,9
2019-06-28,37,25,阴,西南风,2级,31.0,12
2019-06-29,37,26,阴,东北风,1级,31.5,11
2019-06-30,37,26,小雨,西南风,1级,31.5,11
2019-05-01,26,14,多云,东风,2级,20.0,12
2019-05-02,27,14,多云,东南风,2级,20.5,13
2019-05-03,28,13,晴,东北风,2级,20.5,15
2019-05-04,28,13,多云,东南风,2级,20.5,15
2019-05-05,30,17,阴,东北风,2级,23.5,13
2019-05-06,23,14,阴,东北风,2级,18.5,9
2019-05-07,24,15,多云,东北风,1级,19.5,9
2019-05-08,22,17,阴,东南风,1级,19.5,5
2019-05-09,28,17,多云,东北风,2级,22.5,11
2019-05-10,24,17,阴,东北风,1级,20.5,7
2019-05-11,29,16,多云,东南风,3级,22.5,13
2019-05-12,32,18,晴,东北风,2级,25.0,14
2019-05-13,19,18,阴,西南风,1级,18.5,1
2019-05-14,27,19,阴,东北风,1级,23.0,8
2019-05-15,27,21,阴,西南风,1级,24.0,6
2019-05-16,30,21,阴,东北风,1级,25.5,9
2019-05-17,32,22,阴,西南风,微风,27.0,10
2019-05-18,33,24,多云,东北风,2级,28.5,9
2019-05-19,31,21,阴,东北风,2级,26.0,10
2019-05-20,25,15,阴,东北风,1级,20.0,10
2019-05-21,29,18,晴,东北风,3级,23.5,11
2019-05-22,24,16,阴,东南风,1级,20.0,8
2019-05-23,33,16,晴,东南风,1级,24.5,17
2019-05-24,33,20,晴,东北风,3级,26.5,13
2019-05-25,28,22,阴,东北风,2级,25.0,6
2019-05-26,28,21,阴,东北风,1级,24.5,7
2019-05-27,29,19,阴,西南风,微风,24.0,10
2019-05-28,19,16,阴,东北风,1级,17.5,3
2019-05-29,27,15,多云,东北风,1级,21.0,12
2019-05-30,31,21,晴,东北风,1级,26.0,10
2019-05-31,23,20,阴,东北风,1级,21.5,3
2019-04-01,21,8,多云,东北风,2级,14.5,13
2019-04-02,16,12,阴,东南风,1级,14.0,4
2019-04-03,13,12,阴,东北风,1级,12.5,1
2019-04-04,14,12,阴,西北风,1级,13.0,2
2019-04-05,23,13,多云,东北风,2级,18.0,10
2019-04-06,28,14,多云,东北风,微风,21.0,14
2019-04-07,32,15,晴,东南风,1级,23.5,17
2019-04-08,34,19,多云,东北风,2级,26.5,15
2019-04-09,33,20,中雨,东北风,2级,26.5,13
2019-04-10,15,11,阴,西北风,3级,13.0,4
2019-04-11,14,8,阴,东北风,2级,11.0,6
2019-04-12,23,13,多云,东北风,2级,18.0,10
2019-04-13,18,15,阴,东南风,微风,16.5,3
2019-04-14,19,12,阴,东北风,1级,15.5,7
2019-04-15,21,13,多云,东南风,2级,17.0,8
2019-04-16,17,12,阴,东北风,1级,14.5,5
2019-04-17,24,13,多云,东南风,1级,18.5,11
2019-04-18,32,17,多云,东北风,2级,24.5,15
2019-04-19,23,18,阴,东南风,1级,20.5,5
2019-04-20,31,19,阴,东南风,2级,25.0,12
2019-04-21,30,21,阴,西南风,3级,25.5,9
2019-04-22,28,22,阴,西北风,1级,25.0,6
2019-04-23,31,22,阴,东北风,2级,26.5,9
2019-04-24,26,20,阴,东北风,1级,23.0,6
2019-04-25,24,18,阴,东北风,微风,21.0,6
2019-04-26,31,18,阴,东北风,3级,24.5,13
2019-04-27,22,16,雾,东南风,2级,19.0,6
2019-04-28,23,17,阴,东北风,微风,20.0,6
2019-04-29,29,19,阴,东北风,2级,24.0,10
2019-04-30,19,16,阴,东北风,2级,17.5,3
2019-03-01,11,11,阴,西北风,微风,11.0,0
2019-03-02,14,10,阴,东北风,2级,12.0,4
2019-03-03,12,4,阴,东北风,2级,8.0,8
2019-03-04,19,4,晴,东北风,1级,11.5,15
2019-03-05,12,9,阴,北风,微风,10.5,3
2019-03-06,13,6,阴,东北风,2级,9.5,7
2019-03-07,14,6,阴,东北风,1级,10.0,8
2019-03-08,13,8,多云,东北风,1级,10.5,5
2019-03-09,12,8,阴,北风,微风,10.0,4
2019-03-10,21,6,多云,东南风,1级,13.5,15
2019-03-11,22,7,晴,东南风,1级,14.5,15
2019-03-12,25,8,晴,东北风,2级,16.5,17
2019-03-13,25,10,多云,东北风,3级,17.5,15
2019-03-14,15,8,阴,东北风,2级,11.5,7
2019-03-15,22,7,晴,东南风,1级,14.5,15
2019-03-16,22,11,多云,东南风,1级,16.5,11
2019-03-17,23,12,阴,东南风,2级,17.5,11
2019-03-18,18,9,阴,东北风,3级,13.5,9
2019-03-19,26,14,多云,东南风,2级,20.0,12
2019-03-20,30,15,多云,西南风,1级,22.5,15
2019-03-21,24,11,阴,东北风,3级,17.5,13
2019-03-22,11,8,阴,东南风,2级,9.5,3
2019-03-23,14,6,多云,东南风,1级,10.0,8
2019-03-24,16,11,阴,东风,1级,13.5,5
2019-03-25,16,8,多云,东北风,1级,12.0,8
2019-03-26,23,11,多云,东南风,2级,17.0,12
2019-03-27,27,15,多云,东北风,微风,21.0,12
2019-03-28,26,15,阴,东北风,2级,20.5,11
2019-03-29,21,13,阴,东北风,1级,17.0,8
2019-03-30,25,10,阴,东北风,2级,17.5,15
2019-03-31,14,7,阴,东北风,2级,10.5,7
2019-02-01,10,4,多云,东北风,2级,7.0,6
2019-02-02,20,12,晴,东北风,1级,16.0,8
2019-02-03,28,9,阴,东北风,6级,18.5,19
2019-02-04,13,9,阴,东南风,2级,11.0,4
2019-02-05,20,10,阴,东南风,1级,15.0,10
2019-02-06,24,13,阴,东北风,3级,18.5,11
2019-02-07,16,7,小雨,东北风,4级,11.5,9
2019-02-08,6,5,阴,东北风,1级,5.5,1
2019-02-09,6,6,小雨,东北风,2级,6.0,0
2019-02-10,7,4,阴,东北风,3级,5.5,3
2019-02-11,6,5,阴,东北风,2级,5.5,1
2019-02-12,16,9,阴,东北风,1级,12.5,7
2019-02-13,10,9,阴,西南风,微风,9.5,1
2019-02-14,13,9,阴,东南风,微风,11.0,4
2019-02-15,12,6,阴,东北风,3级,9.0,6
2019-02-16,7,5,阴,东北风,2级,6.0,2
2019-02-17,5,5,阴,西北风,1级,5.0,0
2019-02-18,9,9,阴,西南风,1级,9.0,0
2019-02-19,19,10,阴,东北风,2级,14.5,9
2019-02-20,12,9,阴,东南风,2级,10.5,3
2019-02-21,9,8,阴,东北风,2级,8.5,1
2019-02-22,10,5,阴,东南风,2级,7.5,5
2019-02-23,8,5,阴,西南风,微风,6.5,3
2019-02-24,7,6,阴,东北风,1级,6.5,1
2019-02-25,9,7,阴,东北风,1级,8.0,2
2019-02-26,14,10,阴,东北风,2级,12.0,4
2019-02-27,13,9,阴,东北风,1级,11.0,4
2019-02-28,11,10,阴,东北风,1级,10.5,1
2019-01-01,5,3,阴,东北风,2级,4.0,2
2019-01-02,5,4,小雨,东北风,1级,4.5,1
2019-01-03,7,5,阴,东南风,1级,6.0,2
2019-01-04,12,10,小雨,南风,微风,11.0,2
2019-01-05,9,7,大雨,东北风,2级,8.0,2
2019-01-06,11,8,多云,东北风,2级,9.5,3
2019-01-07,13,9,阴,东北风,3级,11.0,4
2019-01-08,10,7,阴,东北风,3级,8.5,3
2019-01-09,8,8,小雨,西南风,1级,8.0,0
2019-01-10,9,9,小雨,东北风,2级,9.0,0
2019-01-11,10,9,中雨,东北风,3级,9.5,1
2019-01-12,12,7,阴,东北风,3级,9.5,5
2019-01-13,11,7,阴,东北风,3级,9.0,4
2019-01-14,10,8,小雨,东南风,微风,9.0,2
2019-01-15,9,6,小雨,东北风,3级,7.5,3
2019-01-16,6,3,小雨,东北风,2级,4.5,3
2019-01-17,10,2,多云,东北风,2级,6.0,8
2019-01-18,15,2,晴,东北风,1级,8.5,13
2019-01-19,16,8,多云,西北风,1级,12.0,8
2019-01-20,11,3,阴,东北风,2级,7.0,8
2019-01-21,9,1,多云,东北风,2级,5.0,8
2019-01-22,14,0,晴,东北风,1级,7.0,14
2019-01-23,16,0,晴,西南风,1级,8.0,16
2019-01-24,17,2,晴,东南风,1级,9.5,15
2019-01-25,14,2,多云,西南风,微风,8.0,12
2019-01-26,13,0,晴,东北风,3级,6.5,13
2019-01-27,15,4,晴,东北风,1级,9.5,11
2019-01-28,15,6,多云,东北风,1级,10.5,9
2019-01-29,21,8,多云,东北风,2级,14.5,13
2019-01-30,23,8,多云,东南风,1级,15.5,15
2019-01-31,13,4,小雨,东北风,3级,8.5,9
2018-12-02,24,15,小雨,东南风,1级,19.5,9
2018-12-03,28,14,多云,东南风,1级,21.0,14
2018-12-04,21,13,小雨,东北风,2级,17.0,8
2018-12-05,16,11,阴,东南风,2级,13.5,5
2018-12-06,15,6,小雨,西北风,2级,10.5,9
2018-12-07,8,4,小雨,西北风,2级,6.0,4
2018-12-08,6,3,小雨,东北风,2级,4.5,3
2018-12-09,5,2,小雨,西北风,1级,3.5,3
2018-12-10,8,3,小雨,西北风,1级,5.5,5
2018-12-11,9,4,小雨,东北风,2级,6.5,5
2018-12-12,10,5,多云,东北风,1级,7.5,5
2018-12-13,8,5,小雨,东北风,1级,6.5,3
2018-12-14,9,4,多云,东北风,1级,6.5,5
2018-12-15,9,6,小雨,东南风,1级,7.5,3
2018-12-16,11,3,阵雨,东北风,1级,7.0,8
2018-12-17,16,3,晴,东北风,1级,9.5,13
2018-12-18,18,2,晴,东南风,1级,10.0,16
2018-12-19,20,8,多云,东南风,2级,14.0,12
2018-12-20,12,10,小雨,东北风,1级,11.0,2
2018-12-21,19,11,阴,东北风,1级,15.0,8
2018-12-22,23,11,阴,东北风,1级,17.0,12
2018-12-23,14,5,阴,西北风,2级,9.5,9
2018-12-24,14,9,多云,东南风,1级,11.5,5
2018-12-25,14,10,小雨,东南风,1级,12.0,4
2018-12-26,13,8,阴,东北风,3级,10.5,5
2018-12-27,9,3,阴,东北风,2级,6.0,6
2018-12-28,5,1,阴,东北风,3级,3.0,4
2018-12-29,7,0,阴,东北风,3级,3.5,7
2018-12-30,4,1,多云,西北风,1级,2.5,3
2018-12-31,3,2,雨夹雪,东北风,3级,2.5,1
2018-11-01,22,15,多云,东北风,2级,18.5,7
2018-11-02,18,15,小雨,北风,微风,16.5,3
2018-11-03,17,13,小雨,北风,微风,15.0,4
2018-11-04,23,17,阴,北风,微风,20.0,6
2018-11-05,25,17,阴,东风,2级,21.0,8
2018-11-06,29,18,多云,东风,1级,23.5,11
2018-11-07,25,17,多云,东北风,2级,21.0,8
2018-11-08,18,12,小雨,东风,2级,15.0,6
2018-11-09,22,13,多云,东风,1级,17.5,9
2018-11-10,24,15,多云,东风,1级,19.5,9
2018-11-11,24,16,小雨,东风,1级,20.0,8
2018-11-12,18,13,小雨,西北风,1级,15.5,5
2018-11-13,19,14,阴,东北风,1级,16.5,5
2018-11-14,20,15,阴,东南风,1级,17.5,5
2018-11-15,18,15,小雨,东南风,1级,16.5,3
2018-11-16,18,15,小雨,东北风,1级,16.5,3
2018-11-17,17,13,小雨,东南风,1级,15.0,4
2018-11-18,17,13,小雨,西北风,2级,15.0,4
2018-11-19,16,11,阴,东北风,1级,13.5,5
2018-11-20,18,13,小雨,东南风,1级,15.5,5
2018-11-21,16,10,小雨,西北风,2级,13.0,6
2018-11-22,15,7,多云,东北风,1级,11.0,8
2018-11-23,18,7,多云,东南风,1级,12.5,11
2018-11-24,21,9,晴,东北风,1级,15.0,12
2018-11-25,17,12,阵雨,东北风,1级,14.5,5
2018-11-26,19,11,多云,东北风,1级,15.0,8
2018-11-27,21,9,晴,东北风,1级,15.0,12
2018-11-28,21,7,晴,东北风,1级,14.0,14
2018-11-29,21,8,晴,东北风,1级,14.5,13
2018-11-30,21,9,晴,东南风,2级,15.0,12
2018-10-01,28,15,晴,东风,1级,21.5,13
2018-10-02,28,16,晴,东南风,微风,22.0,12
2018-10-03,28,15,晴,东南风,1级,21.5,13
2018-10-04,27,17,多云,北风,2级,22.0,10
2018-10-05,24,15,阴,东北风,1级,19.5,9
2018-10-06,28,15,晴,东风,1级,21.5,13
2018-10-07,29,15,晴,东南风,微风,22.0,14
2018-10-08,29,17,晴,东南风,微风,23.0,12
2018-10-09,29,18,阴,东北风,2级,23.5,11
2018-10-10,19,14,小雨,西风,2级,16.5,5
2018-10-12,23,11,多云,东南风,1级,17.0,12
2018-10-13,25,14,晴,南风,1级,19.5,11
2018-10-14,20,17,小雨,东南风,微风,18.5,3
2018-10-15,21,17,小雨,东北风,微风,19.0,4
2018-10-16,21,14,小雨,东南风,1级,17.5,7
2018-10-17,22,13,阴,东北风,微风,17.5,9
2018-10-18,22,13,多云,东北风,1级,17.5,9
2018-10-19,22,16,多云,东风,1级,19.0,6
2018-10-20,20,15,阴,东北风,1级,17.5,5
2018-10-21,20,16,小雨,东南风,微风,18.0,4
2018-10-22,20,17,小雨,西北风,微风,18.5,3
2018-10-23,22,17,小雨,东北风,1级,19.5,5
2018-10-24,23,17,阴,东风,2级,20.0,6
2018-10-25,23,17,小雨,南风,微风,20.0,6
2018-10-26,24,13,阴,东南风,1级,18.5,11
2018-10-27,23,10,晴,东风,1级,16.5,13
2018-10-28,25,9,晴,东风,1级,17.0,16
2018-10-29,26,9,晴,东北风,1级,17.5,17
2018-10-30,26,10,晴,东风,2级,18.0,16
2018-10-31,25,12,晴,东风,2级,18.5,13
2018-09-01,33,26,雷阵雨,东南风,微风,29.5,7
2018-09-02,34,26,雷阵雨,东风,1级,30.0,8
2018-09-03,35,26,雷阵雨,东南风,微风,30.5,9
2018-09-04,33,25,阵雨,北风,3级,29.0,8
2018-09-05,36,26,多云,东风,2级,31.0,10
2018-09-06,35,26,阵雨,东南风,微风,30.5,9
2018-09-10,30,21,多云,东南风,微风,25.5,9
2018-09-11,27,22,阵雨,东风,1级,24.5,5
2018-09-12,28,23,阵雨,西风,1级,25.5,5
2018-09-13,33,24,多云,东风,微风,28.5,9
2018-09-14,36,24,多云,西南风,1级,30.0,12
2018-09-16,31,26,阵雨,东南风,微风,28.5,5
2018-09-17,34,24,雷阵雨,东风,1级,29.0,10
2018-09-18,35,24,多云,东南风,微风,29.5,11
2018-09-19,36,25,多云,东南风,微风,30.5,11
2018-09-20,36,24,多云,东北风,1级,30.0,12
2018-09-21,34,24,中雨,南风,1级,29.0,10
2018-09-22,29,22,雷阵雨,东北风,1级,25.5,7
2018-09-23,28,20,阵雨,东北风,微风,24.0,8
2018-09-24,29,19,阴,东北风,1级,24.0,10
2018-09-25,30,18,多云,东北风,2级,24.0,12
2018-09-26,28,20,多云,北风,2级,24.0,8
2018-09-27,26,19,多云,东南风,1级,22.5,7
2018-09-28,28,19,多云,东风,1级,23.5,9
2018-09-29,28,19,多云,西北风,1级,23.5,9
2018-09-30,28,17,多云,东风,2级,22.5,11
2018-08-01,36,26,雷阵雨,东风,1级,31.0,10
2018-08-02,34,24,阵雨,东风,1级,29.0,10
2018-08-03,35,25,阵雨,南风,1级,30.0,10
2018-08-04,36,25,雷阵雨,东风,1级,30.5,11
2018-08-05,36,26,雷阵雨,西北风,1级,31.0,10
2018-08-06,38,26,雷阵雨,东风,微风,32.0,12
2018-08-07,38,26,多云,东风,微风,32.0,12
2018-08-08,38,25,多云,东南风,微风,31.5,13
2018-08-09,38,26,多云,东南风,微风,32.0,12
2018-08-10,38,26,多云,东南风,微风,32.0,12
2018-08-11,38,25,多云,东风,微风,31.5,13
2018-08-12,35,26,中雨,东南风,1级,30.5,9
2018-08-13,36,26,多云,东风,1级,31.0,10
2018-08-14,36,25,雷阵雨,东南风,微风,30.5,11
2018-08-15,35,25,阵雨,东南风,微风,30.0,10
2018-08-16,35,24,小雨,东北风,2级,29.5,11
2018-08-17,35,26,阵雨,南风,1级,30.5,9
2018-08-18,35,26,雷阵雨,东风,1级,30.5,9
2018-08-19,36,26,雷阵雨,东北风,2级,31.0,10
2018-08-20,36,26,雷阵雨,东南风,微风,31.0,10
2018-08-21,36,26,雷阵雨,东南风,1级,31.0,10
2018-08-22,36,26,雷阵雨,东南风,微风,31.0,10
2018-08-23,36,26,雷阵雨,东南风,2级,31.0,10
2018-08-24,31,25,雷阵雨,西南风,2级,28.0,6
2018-08-25,28,22,小雨,西南风,1级,25.0,6
2018-08-26,29,25,阵雨,东风,1级,27.0,4
2018-08-27,32,26,阵雨,东风,微风,29.0,6
2018-08-28,33,26,阵雨,东南风,1级,29.5,7
2018-08-29,34,25,雷阵雨,东风,1级,29.5,9
2018-08-30,34,26,阵雨,东风,1级,30.0,8
2018-08-31,34,26,雷阵雨,西风,1级,30.0,8
2018-07-01,33,24,雷阵雨,东北风,1级,28.5,9
2018-07-02,35,25,雷阵雨,西风,1级,30.0,10
2018-07-03,34,26,雷阵雨,东风,微风,30.0,8
2018-07-04,36,27,雷阵雨,东风,1级,31.5,9
2018-07-05,35,26,雷阵雨,东风,1级,30.5,9
2018-07-06,34,25,中雨,东风,1级,29.5,9
2018-07-07,35,25,雷阵雨,西南风,2级,30.0,10
2018-07-08,37,26,雷阵雨,东风,1级,31.5,11
2018-07-09,37,26,多云,东风,2级,31.5,11
2018-07-10,36,26,多云,东风,2级,31.0,10
2018-07-11,31,25,中到大雨,东风,2级,28.0,6
2018-07-12,35,25,多云,东风,2级,30.0,10
2018-07-13,35,26,多云,东风,1级,30.5,9
2018-07-14,35,26,晴,东风,1级,30.5,9
2018-07-15,35,25,多云,东风,2级,30.0,10
2018-07-16,36,25,多云,东北风,1级,30.5,11
2018-07-17,34,26,多云,东风,2级,30.0,8
2018-07-18,35,26,多云,东北风,2级,30.5,9
2018-07-19,36,25,多云,东南风,微风,30.5,11
2018-07-20,37,26,晴,东北风,2级,31.5,11
2018-07-21,34,26,阵雨,西风,2级,30.0,8
2018-07-22,34,26,阵雨,东北风,1级,30.0,8
2018-07-23,35,25,雷阵雨,南风,2级,30.0,10
2018-07-24,34,25,阵雨,东南风,2级,29.5,9
2018-07-25,37,26,雷阵雨,西南风,1级,31.5,11
2018-07-26,37,26,雷阵雨,东风,1级,31.5,11
2018-07-27,37,26,雷阵雨,东北风,1级,31.5,11
2018-07-28,37,26,雷阵雨,东南风,1级,31.5,11
2018-07-29,38,25,雷阵雨,西风,1级,31.5,13
2018-07-30,37,26,雷阵雨,东风,2级,31.5,11
2018-07-31,36,25,雷阵雨,东风,2级,30.5,11
2018-06-01,27,18,阴,东北风,1级,22.5,9
2018-06-02,27,19,阵雨,东北风,1级,23.0,8
2018-06-03,26,20,阴,东南风,1级,23.0,6
2018-06-04,26,21,阵雨,东风,1级,23.5,5
2018-06-05,24,22,中雨,东风,1级,23.0,2
2018-06-06,26,20,小到中雨,东风,1级,23.0,6
2018-06-07,30,22,阴,东南风,微风,26.0,8
2018-06-08,33,24,阴,东南风,2级,28.5,9
2018-06-09,33,23,雷阵雨,东风,1级,28.0,10
2018-06-10,27,21,中雨,东风,1级,24.0,6
2018-06-11,33,20,多云,东风,1级,26.5,13
2018-06-12,34,21,多云,东风,微风,27.5,13
2018-06-13,33,22,多云,东风,2级,27.5,11
2018-06-14,29,19,阴,东南风,1级,24.0,10
2018-06-15,33,20,晴,东风,1级,26.5,13
2018-06-16,34,21,多云,东风,1级,27.5,13
2018-06-17,33,22,多云,东风,1级,27.5,11
2018-06-18,32,24,阵雨,东风,1级,28.0,8
2018-06-19,33,25,雷阵雨,东风,1级,29.0,8
2018-06-20,30,23,中到大雨,东北风,2级,26.5,7
2018-06-21,27,22,小到中雨,东风,1级,24.5,5
2018-06-22,30,23,中雨,东风,微风,26.5,7
2018-06-23,30,25,雷阵雨,东风,1级,27.5,5
2018-06-24,34,25,阵雨,东风,1级,29.5,9
2018-06-25,37,26,晴,东北风,微风,31.5,11
2018-06-26,39,26,晴,东北风,1级,32.5,13
2018-06-27,39,26,晴,东风,1级,32.5,13
2018-06-28,38,27,多云,东风,1级,32.5,11
2018-06-29,37,27,雷阵雨,东风,1级,32.0,10
2018-06-30,33,23,雷阵雨,东风,1级,28.0,10
2018-05-01,31,21,雷阵雨,东南风,1级,26.0,10
2018-05-02,30,18,阵雨,西南风,1级,24.0,12
2018-05-03,26,15,多云,东南风,微风,20.5,11
2018-05-04,28,17,多云,东北风,2级,22.5,11
2018-05-05,30,20,多云,东风,1级,25.0,10
2018-05-06,33,22,雷阵雨,东风,微风,27.5,11
2018-05-07,27,19,中雨,东北风,1级,23.0,8
2018-05-08,25,16,阴,东风,1级,20.5,9
2018-05-09,27,15,多云,东风,1级,21.0,12
2018-05-10,29,16,晴,东南风,微风,22.5,13
2018-05-11,32,19,多云,东风,1级,25.5,13
2018-05-12,33,22,雷阵雨,东北风,1级,27.5,11
2018-05-13,32,23,雷阵雨,东风,1级,27.5,9
2018-05-14,35,23,多云,东南风,微风,29.0,12
2018-05-15,37,24,多云,东南风,1级,30.5,13
2018-05-16,38,25,晴,东风,1级,31.5,13
2018-05-17,39,26,多云,东风,2级,32.5,13
2018-05-18,37,26,雷阵雨,东北风,2级,31.5,11
2018-05-19,29,22,雷阵雨,东风,1级,25.5,7
2018-05-20,30,22,雷阵雨,东风,1级,26.0,8
2018-05-21,29,22,雷阵雨,南风,1级,25.5,7
2018-05-22,33,21,中雨,西南风,1级,27.0,12
2018-05-23,27,21,阵雨,东北风,1级,24.0,6
2018-05-24,30,21,阴,东风,1级,25.5,9
2018-05-25,36,24,多云,东南风,1级,30.0,12
2018-05-26,30,24,中雨,东风,2级,27.0,6
2018-05-27,33,25,阵雨,东北风,1级,29.0,8
